A1 backend=tinker model=Qwen/Qwen3.8-27B strategy=full tasks=400 concurrency=16
41-47    error: error: tinker sampling failed after 3 attempts: Error code: 400 - {'detail': "Prompt length plus max_tokens exceeds the model's context window: 67513 prompt tokens + 24576 max_tokens > 65; direct fallback failed: tinker sampling failed after 3
209-30   error: error: tinker sampling failed after 3 attempts: Error code: 400 - {'detail': "Prompt length plus max_tokens exceeds the model's context window: 72655 prompt tokens + 24576 max_tokens > 65; direct fallback failed: tinker sampling failed after 3
22-47    ok
194-19   ok
108-24   ok
227-40   ok
302-1    ok
192-22   ok
341-14   ok
359-21   ok
250-20   ok
334-11   ok
141-20   ok
325-44   ok
120-24   ok
130-9    ok
353-29   ok
343-20   ok
374-18   ok
254-34   error: error: no code block in reply; direct fallback failed: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
382-10   ok
367-23   ok
388-47   ok
370-43   ok
170-13   ok
374-31   ok
379-36   ok
183-8    error: error: no code block in reply; direct fallback failed: no JSON in reply: 'We need answer JSON with cells for answer region Sheet1 I3:L7. Need compute final values after instruction applied. User'
353-6    ok
230-16   ok
395-36   ok
438-18   ok
416-15   ok
382-29   ok
463-17   ok
488-14   ok
402-43   ok
440-24   ok
486-17   ok
409-45   ok
416-27   ok
399-14   ok
448-11   ok
516-46   ok
398-14   ok
408-39   ok
496-15   ok
510-3    ok
414-20   ok
191-40   error: error: no code block in reply; direct fallback failed: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
534-26   ok
585-41   ok
493-5    ok
547-43   ok
560-12   ok
599-9    ok
577-40   ok
30930    ok
15380    ok
12307    ok
387-16   ok
37900    ok
567-21   ok
535-20   ok
247-24   ok
38537    ok
38969    ok
33722    ok
38703    ok
545-35   ok
496-34   ok
423-16   ok
40478    ok
39515    ok
39903    ok
524-31   ok
531-18   error: error: no code block in reply; direct fallback failed: no JSON in reply: "Let me carefully analyze this task.\n\nThe user wants to transpose data from the 'Data' tab into the format shown on the '"
39931    ok
38462    ok
41410    ok
41969    ok
39667    ok
38074    ok
46167    ok
42198    ok
41601    ok
39046    ok
41691    ok
45300    ok
38985    ok
47798    ok
39432    ok
31202    ok
47842    ok
45635    ok
48588    ok
48257    ok
48080    ok
42526    ok
38823    ok
48745    ok
48924    ok
48365    ok
48643    ok
34033    ok
45896    ok
48921    error: error: no code block in reply; direct fallback failed: no JSON in reply: 'We need answer JSON with cells A2:A4452 values after instruction applied. Need compute final values. Need understand tas'
48608    ok
48982    ok
44389    ok
48620    ok
50088    ok
47933    ok
49300    ok
50526    ok
46240    ok
50796    ok
49801    ok
47766    ok
48975    ok
48969    ok
50768    ok
50952    ok
51289    ok
51431    ok
51359    ok
50193    ok
52917    ok
49036    ok
51090    error: error: no code block in reply; direct fallback failed: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
51586    ok
50682    ok
51262    ok
54242    ok
50916    ok
53167    ok
54144    ok
1563     ok
49237    ok
1818     ok
49667    ok
52575    ok
52807    ok
52216    ok
3413     ok
50324    ok
7665     ok
54675    ok
5835     ok
49333    ok
1925     ok
4714     ok
9569     error: error: tinker sampling failed after 3 attempts: Error code: 400 - {'detail': "Prompt length plus max_tokens exceeds the model's context window: 104642 prompt tokens + 24576 max_tokens > 6; direct fallback failed: tinker sampling failed after 3
9111     ok
8942     ok
49196    ok
10452    ok
9726     ok
11842    error: error: tinker sampling failed after 3 attempts: Error code: 400 - {'detail': "Prompt length plus max_tokens exceeds the model's context window: 68513 prompt tokens + 24576 max_tokens > 65; direct fallback failed: tinker sampling failed after 3
6698     ok
2768     ok
3002     ok
7902     ok
9448     ok
15387    ok
16511    ok
18645    ok
54196    error: error: no code block in reply; direct fallback failed: no JSON in reply: 'We need answer JSON with cells E2:E279 in Sheet two. Need compute values after instruction: populate Column E in Sheet t'
54590    ok
17111    ok
11276    ok
31628    ok
31011    ok
13284    ok
32255    ok
32293    ok
31915    ok
48983    ok
32093    ok
18935    ok
3911     error: error: no code block in reply; direct fallback failed: no JSON in reply: "We need answer user's request: compute final values for answer range H2:P8 after instruction applied. Need analyze workb"
14240    ok
32902    ok
31746    ok
10747    ok
32612    ok
34210    ok
12864    ok
33157    ok
36191    ok
35742    ok
32337    ok
32438    ok
37378    ok
